          rk          Nk1          Nk2          Nk3
          10           1           1           1
          20           2           2           1
          30           4           4           2
          40           5           5           3
          50           6           6           3
          60           7           7           4
          70           8           8           5
          80          10          10           6
          90          11          11           6
         100          12          12           7
